louvain_community,search_edges_count,search_traffic
2,37621,1198089
3,83923,3506684
4,83056,3428064
10,17677,581906
12,2215,65891
6,6900,193041
11,21090,902258
7,27798,769867
24,3633,444777
25,1553,42140
5,23895,663439
1,29407,740682
13,7973,274844
17,6454,230289
8,8809,225133
9,12404,626377
14,2369,62522
21,4260,155953
22,6753,186385
16,1273,47326
33,394,10094
20,954,22705
19,1704,87557
15,6254,242557
0,877,18144
46,66,1997
27,280,7001
39,367,10738
34,186,5137
147,4,53
31,503,14263
44,540,18365
211,11,186
241,2,20
307,1,37
386,2,25
47,57,3206
528,2,45
567,8,138
537,7,125
82,3,37
615,2,38
645,1,16
670,3,74
108,13,250
841,3,35
42,39,1037
74,6,72
782,1,10
671,1,25
372,1,10
479,2,20
1016,2,25
1101,1,10
62,1,10
182,16,223
237,2,28
814,2,23
610,1,16
457,1,11
342,2,33
354,2,36
626,1,22
1165,5,93
1243,1,11
908,9,143
238,1,10
466,2,20
1192,1,13
1149,1,12
156,2,23
38,1,40
981,2,21
61,2,24
1417,1,10
30,1,16
1432,1,38
1442,1,11
243,1,21
207,1,27
566,2,50
353,1,19
1489,3,94
1104,4,65
130,2,25
861,1,29
862,1,15
128,3,35
129,1,21
112,2,60
533,1,15
1247,1,23
1462,1,10
638,1,17
133,1,10
603,1,17
150,1,13
980,1,14
54,7,341
1431,3,65
1019,1,17
1379,1,14
330,1,25
534,1,10
175,1,16
228,1,19
233,4,50
1167,2,25
256,4,81
205,2,22
1107,1,25
65,1,15
1457,1,10
1650,1,10
731,1,19
816,1,11
572,1,10
1661,2,38
1017,1,17
745,1,12
160,1,18
116,3,66
554,1,49
1522,1,15
420,1,12
1201,1,10
306,1,12
1428,1,14
1516,1,15
1093,1,18
335,1,33
1464,1,10
618,2,29
439,1,31
325,1,27
1399,1,13
1287,1,30
1240,1,12
642,1,11
204,2,29
1048,1,18
388,1,10
416,3,132
123,1,14
802,1,11
1049,1,10
397,1,10
1563,1,20
23,1,11
888,1,10
1547,1,24
294,1,26
1441,1,15
1359,1,11
1570,1,11
898,1,13
