louvain_community,link_edges_count,link_traffic
0,96663,3624481
1,1233065,75310865
2,1055132,71288863
3,2740230,279916754
4,2182385,423779216
5,1141537,132364916
6,234664,14668331
7,1472052,100658886
8,434127,29846311
9,253353,29577159
10,839295,54133551
11,608896,50132716
12,124476,6734912
13,391836,38733554
14,71561,4357277
15,219508,32333486
16,47488,3037473
17,286932,30883924
18,5,105
19,60642,3799134
20,34907,2413371
21,134434,7039880
22,246207,17932443
23,12,272
25,63994,3877824
26,6,95
27,5928,352176
29,12,1058
30,93,3413
31,6151,177565
32,16,416
33,27042,1356712
24,42713,5557581
34,8020,380214
35,4,54
36,7,108
37,13,243
38,146,5423
39,14979,1329271
40,20,407
41,9,317
43,203,3876
44,19914,2042532
45,49,1446
46,16141,1840850
47,4514,283580
48,6,88
49,5,113
50,4,62
51,18,462
52,4,60
53,99,2884
54,2782,279610
55,60,1229
56,75,3482
57,29,946
58,21,3105
59,160,7448
60,8,99
61,308,12882
62,8,133
63,474,41906
64,32,475
65,2,23
66,117,2968
67,21,1521
68,21,390
69,32,928
70,7,155
71,125,12479
72,47,956
73,21,635
74,643,29267
76,260,6668
77,52,785
78,22,475
79,4,60
80,50,1254
42,2439,114768
81,48,2143
82,95,3696
83,149,3312
84,326,9654
85,12,198
86,4,57
87,23,688
88,25,1407
89,62,2285
90,8,112
91,20,523
92,20,935
93,108,5991
94,65,2308
95,8,136
96,11,206
97,8,142
99,5,122
100,53,3396
101,6,115
102,12,177
103,122,6652
104,80,1859
105,4,542
106,22,346
107,56,1529
108,878,44173
109,42,944
110,9,395
111,7,156
112,81,3889
113,152,8500
114,42,1386
115,4,47
116,79,2794
117,17,428
118,20,451
119,29,985
120,5,139
121,103,5722
122,69,5023
123,485,13581
124,120,4747
125,15,451
126,6,87
127,25,636
128,623,44424
129,49,1212
130,350,10692
131,5,201
132,29,1122
133,60,3298
134,47,989
135,3,38
136,155,3068
137,45,1136
138,21,365
139,22,696
140,26,648
141,14,267
142,24,375
143,23,612
145,3,37
146,6,98
147,9,190
148,31,1301
149,22,416
150,103,2455
153,16,320
154,8,116
155,15,219
156,407,18204
157,31,750
159,4,62
160,284,12970
161,14,195
162,29,909
163,25,427
164,25,649
165,9,216
166,55,1318
168,21,452
169,52,1303
170,13,168
171,68,1447
172,4,58
173,314,7797
174,43,647
175,19,378
176,9,150
177,7,225
178,5,224
179,3,30
180,11,288
181,26,839
182,96,3969
183,46,2742
184,16,523
186,6,296
187,4,56
188,133,2633
189,29,827
190,8,118
191,9,138
192,3,36
193,16,340
194,24,931
195,91,4232
196,122,1678
197,42,727
198,17,584
199,9,164
201,5,85
203,30,1492
205,322,20952
206,51,2173
207,26,2609
208,28,392
204,91,1559
209,5,106
210,40,592
212,10,183
213,28,1585
214,29,534
215,7,106
216,10,320
217,19,435
218,20,312
219,35,1079
220,6,95
221,7,88
222,8,138
223,28,799
224,30,438
225,117,3127
226,6,88
227,14,393
228,56,3745
229,19,400
230,23,426
231,20,384
232,19,294
233,181,9943
234,15,248
235,20,516
236,45,2903
185,26,964
237,50,1111
238,53,819
239,14,298
240,68,1793
241,26,1499
242,18,342
243,31,1037
244,160,17653
245,10,360
246,7,84
247,21,321
211,13,258
248,147,5114
249,4,44
250,22,356
251,59,2360
252,17,347
253,7,147
254,45,801
255,31,562
257,26,448
258,56,929
259,88,2584
260,9,156
261,14,258
262,8,132
264,24,435
265,13,241
266,85,2248
267,27,862
269,16,327
270,24,404
271,3,55
272,23,567
273,5,81
275,93,2266
276,6,128
277,14,247
278,15,401
279,20,308
280,3,44
281,6,67
282,39,703
284,35,670
285,55,1419
286,20,487
287,28,539
288,6,111
289,20,304
290,14,401
291,57,1530
292,18,267
293,45,1901
294,5,165
295,7,142
296,53,1142
297,124,4139
298,179,7214
300,71,1400
301,14,329
302,6,74
303,35,1529
304,8,165
305,47,2352
306,88,5582
308,36,724
309,12,156
310,5,108
311,23,862
312,39,714
313,21,447
314,14,236
315,97,3604
316,58,1054
318,18,309
319,39,629
320,30,1163
321,4,65
322,8,146
323,35,831
324,4,68
325,78,1623
326,61,4044
327,67,3348
328,15,409
329,19,362
330,8,301
331,30,404
332,27,356
333,20,716
334,15,207
335,6,96
336,4,46
337,13,485
338,38,450
339,94,7865
341,24,927
342,103,4231
343,4,52
344,35,1340
345,10,242
346,32,581
347,5,79
348,34,736
350,25,1528
351,38,669
352,18,414
353,8,255
355,14,666
356,14,776
357,6,94
358,45,6921
359,27,752
360,16,376
361,44,997
362,4,79
363,12,151
364,8,334
366,15,333
367,6,91
368,3,46
370,29,1349
371,26,649
372,14,493
373,18,672
374,123,7141
375,23,959
376,23,395
377,29,493
378,41,830
379,26,574
380,43,813
382,13,197
151,5,55
383,5,62
384,12,665
385,40,627
256,133,2228
158,3,74
388,40,1183
389,47,1469
390,21,914
391,11,291
392,8,248
393,4,41
395,6,75
396,62,2072
397,5,79
398,63,1600
399,30,1396
400,47,1634
401,11,193
402,11,203
403,3,36
317,4,88
404,18,247
405,55,1096
406,5,179
407,22,731
408,3,65
409,9,124
410,6,90
412,12,252
414,16,735
415,26,468
416,24,881
417,36,1448
418,49,1398
420,5,121
421,5,126
422,20,834
423,10,379
425,11,255
426,11,352
427,13,337
428,4,85
430,18,887
431,30,1110
432,9,176
433,62,923
434,5,99
349,9,324
435,118,9955
436,5,60
437,6,107
438,31,580
439,21,748
440,8,163
441,56,1389
442,39,959
443,5,66
445,110,2173
446,7,78
449,17,435
450,10,140
451,27,993
452,41,1161
453,6,79
454,15,179
455,11,184
456,10,122
457,10,213
458,50,859
274,61,1641
459,7,116
460,18,329
461,8,142
462,4,65
463,37,1244
464,4,72
465,8,325
466,31,862
467,8,247
468,14,258
470,12,330
471,16,181
472,3,35
473,17,931
474,5,70
475,11,207
476,13,342
477,61,2121
478,35,886
479,49,1105
480,24,546
481,9,310
482,9,353
483,5,87
485,14,287
486,16,621
488,6,228
489,12,184
490,10,193
491,37,1126
492,23,689
493,4,112
494,61,3349
495,9,293
496,16,378
497,9,238
499,13,163
500,27,1073
501,13,168
502,16,266
503,30,1048
504,8,161
505,12,258
506,6,189
507,7,182
508,4,66
509,10,154
510,8,159
511,12,441
512,14,292
513,4,83
514,3,38
515,19,499
516,11,144
517,4,61
519,11,557
521,19,604
522,34,547
523,89,2345
524,7,172
525,28,824
526,42,1539
527,22,275
528,9,316
529,31,1092
530,11,1156
531,6,131
532,19,288
533,23,947
534,25,1576
535,24,271
536,20,261
537,85,2304
538,23,711
539,7,149
540,25,599
541,10,260
542,13,367
543,10,440
544,26,559
545,7,283
546,3,33
547,29,512
548,5,59
549,16,601
552,9,157
553,10,311
554,59,2092
555,28,768
556,11,285
557,9,157
558,9,192
560,10,164
561,3,70
562,9,392
563,10,185
565,5,67
566,49,1659
567,24,762
570,6,122
572,34,1476
575,9,122
576,6,86
577,17,276
578,70,1798
579,17,343
580,14,391
581,6,95
582,3,121
583,17,353
584,4,50
585,14,376
587,8,119
588,48,2687
589,16,213
590,4,62
591,8,105
592,5,63
593,9,105
365,13,246
551,23,586
595,40,703
597,8,123
598,43,3110
602,25,633
603,49,1159
604,3,70
605,3,60
606,3,60
607,10,195
608,21,248
610,36,1020
611,4,90
612,6,150
613,19,633
614,11,314
616,3,32
617,4,54
586,18,350
619,33,596
620,10,124
621,12,242
622,5,62
623,15,309
624,77,3011
