from_lc_id,to_lc_id,link_edges_count,link_traffic
8,1,21717,1067594
3,1,62506,3543666
7,1,55577,3014753
7,2,51982,3602338
10,2,28916,2237781
4,2,45969,7302780
5,4,70448,9931781
7,4,56477,5441323
1,4,16836,1557671
2,4,16191,1800884
3,0,9561,366945
4,3,89927,12184172
7,3,157094,9348141
1,3,44180,2658195
3,4,58960,6574601
4,7,100881,10755085
8,3,46231,2399820
3,7,210914,13363427
3,2,48754,4004048
4,5,79831,11680539
1,7,50947,3035254
2,7,48239,3109985
10,11,26795,1159793
5,11,5360,588439
12,11,2224,139967
14,12,648,35101
11,15,2872,162213
24,4,6440,674325
10,4,45862,3965163
2,3,38124,2198422
10,1,31286,1504916
5,1,18025,1110077
3,8,54546,3690663
10,5,26106,1630758
13,4,25663,2039604
3,10,91196,7925525
1,13,10780,545210
9,5,892,47486
12,4,1797,204945
11,4,12277,1044278
6,4,9289,808288
7,11,2880,125584
3,11,14457,1172985
4,11,16559,1938371
0,3,6050,184831
5,3,23554,2999863
6,3,31265,1792215
15,4,5716,867458
10,7,35233,2184061
27,6,124,6556
9,7,9477,535340
8,10,8336,373309
1,10,23316,1303576
54,4,537,70253
4,6,21919,2567899
17,7,12145,674098
13,7,14342,967843
46,7,1277,84418
24,7,5019,370786
5,7,27359,2262215
6,7,18157,935576
3,16,9181,690092
7,16,4234,235328
11,10,28127,1787922
7,8,4569,247533
2,1,52157,2550705
22,10,3565,158342
13,5,4255,245256
17,4,6079,619806
21,3,9773,630217
17,1,5257,279551
3,9,32558,3781415
6,9,691,45558
22,8,2491,123369
4,8,7242,686503
1,8,16853,991881
5,8,972,86670
6,25,607,26175
4,10,77443,9226863
6,10,20763,1333563
7,10,31419,1827553
39,10,756,45160
10,6,24910,1437694
5,6,4603,315617
3,17,24941,1668378
3,28,1,119
13,17,4623,316898
6,2,7974,470700
1,2,43418,2379561
4,17,8206,1166916
3,6,46662,3791034
14,4,1031,88558
13,1,17688,870749
25,11,573,43559
7,13,10453,648168
4,13,31142,2588238
3,25,4513,425902
8,25,360,10844
9,4,3384,287556
13,20,817,40221
4,20,1467,129337
7,20,1356,70785
2,20,427,20604
1,20,1022,65914
6,20,295,17558
12,20,149,5772
3,29,3,180
17,2,5664,363643
10,3,77599,5774220
4,1,40531,3039729
8,21,507,15407
24,2,4736,554173
21,4,2600,198702
6,1,23515,1569140
2,10,21204,1305206
5,2,11823,2206268
6,17,2332,122099
7,17,13754,741623
19,7,1083,41055
17,12,638,33130
15,12,1053,58326
1,6,25641,1998101
17,3,16427,1105583
22,1,9638,409917
9,1,2659,201795
33,10,127,8521
13,2,5458,364130
1,21,1817,66140
6,11,7523,424164
12,3,6681,347684
22,3,7002,335517
11,2,4410,417844
47,7,394,14389
21,7,1651,83038
25,7,1579,54293
16,7,2963,135176
15,7,2207,173920
1,0,2771,103916
33,7,1044,38911
2,5,5857,664271
2,6,8184,475993
8,0,1496,55949
22,2,1488,76887
11,3,13202,925736
33,5,990,38622
21,10,1152,47979
17,10,2831,161086
10,13,2736,143048
5,13,5131,428672
3,13,7710,664581
22,13,1324,71615
20,3,1372,82143
1,16,1088,52928
11,7,4363,236267
3,15,3026,194867
4,15,7342,1114334
10,14,3126,108695
11,14,3184,167404
22,4,3017,232083
10,24,2129,208358
2,24,3099,420837
1,24,1656,153409
9,3,28361,3598611
5,16,992,85081
4,16,2789,525983
2,33,131,7074
4,33,1717,102617
7,33,1113,48281
8,6,3047,142943
3,5,18352,1763161
11,13,1353,78881
15,13,1513,87139
7,6,20407,1030884
5,10,34573,3050902
3,22,8842,491803
6,22,1651,104277
17,22,464,50875
11,6,12657,778221
21,33,45,1194
3,27,1325,76370
17,13,4351,310868
3,21,12210,758629
11,1,3150,154825
12,10,2234,98982
15,10,5208,361707
4,24,8320,1096658
3,24,4276,323163
15,24,302,34087
7,24,3875,258379
14,10,3503,173349
7,5,20032,1151367
835,3,1,22
20,6,345,15481
17,39,174,8745
8,20,37,1499
11,20,233,8517
44,20,42,2269
20,7,1740,113685
24,3,4340,252707
19,3,9075,601727
8,13,1528,78669
3,19,11000,911033
3,12,8445,465740
2,12,1503,86791
21,2,1792,185426
12,2,1920,101144
8,2,2612,147377
8,4,3562,264357
17,24,362,20184
0,10,3851,147292
16,10,1573,98020
13,3,9591,725189
16,3,5544,388253
3,42,505,23233
6,14,761,33064
20,5,179,9511
14,2,538,28702
2,0,738,30223
12,1,1024,54108
0,1,2953,111367
39,1,1147,69634
14,1,388,14098
10,34,481,23874
14,11,2586,159084
13,11,1340,59709
15,11,3025,320871
21,27,65,2378
9,2,2640,162380
1442,2,1,17
15,2,2779,366635
22,24,249,10921
12,21,852,46066
2,21,1748,118422
11,21,1170,65045
9,21,346,19008
