from_lc_id,to_lc_id,search_edges_count,search_traffic
7,3,3596,86630
22,4,144,2745
2,4,1044,32692
14,7,10,190
10,7,701,21548
4,7,3571,141982
15,24,18,592
25,11,14,445
15,10,71,1868
1,2,1387,39682
1,3,1256,35103
3,7,3991,146074
3,10,2386,109940
5,10,688,22582
6,3,818,25105
4,5,3849,133972
3,2,1128,66931
1,33,27,529
7,20,43,981
4,9,208,9168
1,7,1355,35288
4,10,1798,117105
10,3,2107,69828
4,2,1957,103588
5,2,423,34295
0,1,44,972
3,1,1630,66634
2,1,1340,33191
14,11,77,1890
10,11,278,7213
7,2,1422,53601
1,21,56,1539
3,21,302,10800
6,25,15,422
4,8,192,5519
3,8,917,35090
3,4,3179,114923
24,5,78,2180
9,10,16,721
3,11,497,15633
7,4,2391,66986
10,4,1428,47628
16,24,3,78
22,8,66,1421
9,3,1410,84535
4,3,3581,157278
10,6,355,11986
1,19,18,468
2,13,180,3995
6,9,40,1118
3,9,1613,111173
7,1,1675,45021
7,5,835,22121
7,10,822,26594
6,2,231,6620
3,22,174,7495
20,10,16,423
24,11,15,514
5,15,121,3374
5,1,495,23195
4,17,428,13933
16,3,225,9323
2,3,980,25559
3,19,267,11998
4,16,99,2831
11,7,115,2806
11,1,102,4605
4,1,1762,53706
10,8,105,2744
5,33,47,1951
1,4,1123,33073
11,10,269,8644
4,13,1361,42727
21,7,31,528
17,5,163,6617
4,11,544,17059
5,11,162,6636
22,11,21,320
2,11,88,2862
15,11,104,2258
7,9,279,10338
21,9,19,669
5,3,817,55894
6,11,176,4739
7,6,384,10704
19,3,253,17752
13,3,268,9676
2,5,473,14783
24,3,139,12565
2,7,1170,37149
7,12,43,993
7,22,68,1436
3,25,185,7583
3,16,267,10993
6,7,322,10532
15,3,154,7771
7,33,24,419
5,4,2784,102054
8,5,50,1270
1,6,566,13845
13,22,72,2713
22,7,71,1521
10,31,3,217
1,8,318,7120
2,8,64,1523
3,6,925,46469
3,5,834,24360
22,3,170,3706
4,0,65,2147
6,22,52,1117
15,4,401,12861
8,3,662,15156
1,10,526,14273
4,24,390,18943
0,4,67,1293
8,6,34,891
1,5,545,15119
17,19,18,1288
17,4,287,9726
3,102,1,11
2,24,257,20632
17,7,295,8782
8,7,73,1945
9,7,285,14114
1,15,49,1141
11,4,471,10550
3,24,133,12122
11,15,106,3024
3,15,164,4702
4,15,501,29590
24,15,10,357
17,10,109,2379
24,4,197,6646
12,13,16,476
10,1,557,13972
13,7,375,13166
4,21,141,28346
13,4,956,25825
9,4,220,13807
19,9,8,142
2,0,28,644
10,5,815,22847
17,3,488,21155
6,10,331,9107
4,6,380,17995
8,0,11,193
22,5,47,1067
6,1,636,18903
5,7,781,38239
0,10,50,1301
9,1,171,18012
1,16,19,588
8,4,138,2929
21,3,221,6346
33,3,66,1723
11,6,168,5205
17,2,130,4427
6,24,34,619
13,2,155,3739
24,2,190,9202
24,1,100,3038
2,15,88,3003
39,4,9,264
2,10,579,20557
1,34,16,276
39,9,6,72
10,2,660,27788
22,15,10,143
7,15,77,1957
13,12,10,344
15,2,50,2241
8,10,116,2763
13,5,152,3510
7,17,364,9638
1,0,53,931
12,3,147,3461
33,4,55,1406
13,1,340,9482
4,19,26,1676
2,22,63,1512
19,17,22,666
3,17,623,19670
11,17,15,349
4,22,200,13859
11,22,13,294
25,4,69,2069
645,4,1,18
31,3,26,455
1,13,460,16874
3,33,103,2934
7,13,364,10286
25,3,121,3323
11,3,408,21269
11,13,47,1072
2,9,101,2931
0,3,63,1687
5,8,31,834
2,12,46,885
8,1,339,7382
22,1,243,6003
8,2,84,2106
3,27,61,1811
1,24,128,13780
6,4,353,10541
13,17,107,4371
42,4,9,144
24,10,45,2049
46,1,10,1018
9,17,21,3200
1,22,281,6697
16,4,72,2117
10,22,91,2091
6,13,49,1377
20,13,13,236
19,22,5,64
7,24,139,5231
21,5,20,681
4,244,3,36
22,17,8,448
24,6,36,791
16,10,64,1258
10,17,91,2312
9,6,30,1392
16,1,19,327
11,5,191,5947
4,20,63,1786
2,31,1,11
7,8,105,3128
46,4,59,1391
33,5,16,722
5,17,109,3409
7,11,117,3285
20,7,31,668
13,46,4,50
4,46,79,2071
16,21,1,12
5,21,28,574
9,21,15,3735
10,21,52,1375
10,13,112,3382
7,25,50,1105
22,2,86,1915
5,9,34,882
5,24,133,6620
8,22,60,1086
13,10,98,2386
22,10,68,1377
12,10,27,577
21,10,43,1201
10,15,60,1483
3,13,353,9077
20,4,51,876
7,14,10,371
6,5,83,1832
15,5,87,3839
0,5,14,190
9,2,91,5518
7,16,92,2463
15,25,13,323
27,25,1,10
10,0,54,1214
4,39,21,843
17,1,151,3986
17,0,13,393
2,6,212,4773
10,25,29,482
7,21,37,819
3,39,41,990
24,17,17,408
3,12,155,3261
1,17,183,8212
12,4,82,1873
14,3,26,695
3,31,53,1269
4,12,113,2643
44,4,22,602
6,19,9,229
13,15,43,1053
7,39,22,554
20,2,19,388
10,16,48,1514
2,25,18,338
27,3,46,1897
5,0,23,733
4,54,22,468
3,368,1,32
4,14,44,1225
13,20,19,393
17,6,70,2821
21,2,41,1143
4,33,75,1956
5,16,19,440
17,16,10,154
10,20,15,357
3,0,130,3389
1,9,85,3756
6,21,21,529
11,2,114,3826
21,1,51,1682
10,12,37,747
19,4,19,452
5,13,198,13930
14,4,24,562
5,6,64,5827
3,14,24,906
17,25,25,581
10,24,75,2666
25,15,9,349
15,7,65,4468
5,12,27,726
21,4,99,3792
11,25,20,393
603,3,1,12
19,7,20,559
17,13,87,3567
22,13,41,867
8,13,67,2257
16,13,12,221
11,19,15,1015
1,39,26,713
15,12,16,504
24,13,27,864
10,14,34,871
11,14,74,1678
5,25,22,486
6,16,4,70
13,19,3,54
42,3,7,107
8,11,12,167
11,12,53,1202
1,11,71,1414
7,182,4,57
1558,3,1,11
12,7,30,536
39,3,44,1037
1,25,21,332
13,6,51,1063
16,7,65,1414
6,17,57,1498
46,2,5,109
21,6,14,350
4,518,1,21
34,1,10,176
25,10,21,478
405,3,1,10
12,1,33,493
15,21,14,993
3,20,30,1085
21,39,5,97
3,46,9,126
24,7,94,2734
12,8,3,44
34,9,3,51
19,2,7,128
2,14,8,206
12,24,7,256
34,21,1,25
39,2,15,411
1,12,34,1007
2,17,150,4787
21,13,10,250
19,10,3,39
9,13,20,4645
3,42,10,189
44,11,10,331
6,15,8,107
4,25,101,2342
6,8,45,1004
12,5,20,386
5,248,1,14
20,42,1,36
13,11,41,1000
6,14,6,227
6,27,8,363
4,47,15,415
12,2,34,731
34,10,8,167
24,20,1,39
2,16,19,336
10,34,7,119
25,2,17,437
33,1,13,254
19,1,11,241
306,7,1,10
10,9,20,400
20,3,26,418
25,5,27,898
11,33,3,65
9,5,33,2043
25,16,6,120
15,6,9,409
47,25,1,12
3,688,1,12
17,8,17,231
19,24,3,48
11,8,14,281
14,5,16,246
108,4,2,36
21,11,43,2064
20,1,26,945
0,7,17,364
13,0,20,307
19,0,2,47
21,12,24,544
39,1,21,434
39,6,1,11
34,7,3,81
17,12,6,260
390,1,1,24
5,128,2,47
39,17,4,222
47,3,6,161
13,8,29,1084
22,0,18,403
13,9,6,101
16,6,4,363
19,6,8,228
27,7,3,65
1,44,18,328
21,8,10,294
9,12,2,24
31,4,5,253
16,8,2,68
8,21,3,70
8,31,3,37
5,785,1,28
417,2,1,11
20,24,2,21
11,21,19,503
4,44,38,708
2,20,14,324
21,19,6,99
8,9,17,518
44,5,39,1112
9,24,5,146
19,5,4,126
14,10,28,2192
17,15,22,684
39,5,5,64
7,63,1,15
3,284,1,21
0,17,17,333
4,841,1,12
6,12,10,170
46,3,7,119
46,7,28,469
15,46,1,18
5,22,53,2163
8,16,7,263
2,21,55,2837
12,6,7,134
22,6,50,1083
2,43,1,33
5,702,1,19
12,25,8,121
0,8,13,259
33,10,2,145
1,54,2,29
4,150,1,35
19,12,14,434
44,12,5,97
7,46,34,587
5,46,3,85
27,1,5,100
17,21,7,119
20,22,4,45
39,10,10,151
12,14,3,65
15,1,43,1325
12,17,11,352
13,24,31,1321
1,20,17,277
12,15,19,932
16,33,1,10
1,985,1,10
16,2,15,328
44,3,31,1057
15,22,7,119
11,20,1,12
19,25,4,340
12,11,50,1158
20,11,4,67
25,7,32,962
2,46,3,110
7,44,9,165
0,15,2,21
9,15,6,330
8,15,7,144
25,13,11,601
7,0,20,414
15,13,43,2673
15,14,10,193
19,13,6,175
344,4,2,36
14,6,9,331
33,7,15,504
6,0,11,263
44,13,3,104
33,13,3,66
19,8,3,37
233,4,1,10
17,22,16,421
11,16,12,203
10,47,17,477
5,31,12,312
3,884,5,103
9,25,3,66
7,211,1,20
16,17,5,80
12,39,2,40
7,47,10,187
12,0,1,20
15,17,23,639
13,14,4,72
5,14,9,451
5,38,2,36
15,44,11,374
534,7,1,30
2,1119,1,38
7,31,8,227
128,7,1,10
17,20,8,214
3,300,2,25
2,33,8,138
15,16,2,21
14,13,6,140
5,44,13,280
46,9,1,12
17,9,8,246
0,2,19,291
14,9,1,216
25,24,9,173
31,5,7,148
3,34,10,285
15,20,1,13
0,22,15,241
7,908,4,205
3,44,26,779
21,33,1,61
6,33,3,59
17,33,3,31
10,33,9,304
8,17,14,305
4,31,7,372
47,2,5,74
24,0,5,132
0,6,8,102
46,15,1,17
10,39,26,540
14,15,8,109
27,6,7,130
8,14,1,14
1538,3,1,11
21,24,2,23
3,781,2,23
33,25,4,55
7,128,3,63
17,24,8,172
44,15,5,122
1,14,7,95
7,19,15,346
22,9,5,108
8,20,1,10
34,3,6,96
6,31,6,182
12,20,4,119
3,1230,1,13
7,150,1,117
15,9,6,96
16,5,11,337
19,11,22,556
39,8,4,99
11,24,14,357
24,39,2,62
2,39,9,171
3,765,1,13
4,42,9,193
4,1261,1,62
4,103,1,19
4,354,2,99
14,25,1,17
39,7,11,176
14,1,8,124
24,12,14,627
1438,3,1,70
4,800,1,23
39,14,1,29
3,1285,1,12
17,14,4,273
12,22,13,337
44,7,5,661
5,20,13,265
33,16,2,67
24,25,1,11
21,17,7,183
25,6,11,248
2,47,7,141
34,4,3,49
12,19,6,90
25,21,3,54
13,21,5,275
3,567,1,12
22,16,2,27
20,46,1,11
54,4,9,264
9,8,6,97
198,5,1,11
21,25,4,133
24,19,2,35
8,19,4,107
15,19,4,402
14,12,15,284
3,1359,1,16
33,24,4,65
21,27,1,12
14,33,2,30
1538,5,1,11
3,47,14,229
20,6,4,57
20,8,4,85
3,768,2,37
11,47,1,18
256,3,1,11
534,4,1,19
14,2,7,453
4,1384,1,29
9,27,8,151
12,9,4,89
14,24,4,51
3,787,1,17
9,16,5,151
17,11,9,238
16,12,1,20
11,44,15,568
13,38,1,20
13,16,4,114
0,19,4,121
25,19,5,127
4,133,1,14
47,10,9,260
1,47,2,21
16,9,4,52
3,594,1,22
22,24,5,169
3,1438,2,44
22,12,16,352
16,15,3,36
228,10,1,11
31,7,6,99
7,780,1,12
17,39,5,97
9,22,10,1152
1,182,3,35
20,12,2,20
1017,3,1,15
10,776,1,12
16,22,2,103
46,13,2,22
25,0,4,61
44,22,2,74
11,108,1,21
24,54,1,11
1165,3,1,10
42,7,1,14
14,39,1,61
21,15,8,180
39,15,1,12
7,421,1,14
1,554,1,10
20,5,8,230
31,6,6,136
8,25,7,96
21,0,5,104
5,27,3,77
4,112,1,17
25,8,2,21
33,12,4,84
33,2,4,123
3,355,1,10
25,17,23,914
34,8,3,83
4,27,3,41
10,46,2,34
4,861,1,55
16,39,1,11
25,1,15,335
8,12,2,51
4,342,1,10
1547,3,1,26
7,196,2,64
13,33,2,59
14,17,3,58
3,566,1,35
44,1,7,187
130,4,1,14
4,34,4,56
0,21,4,58
3,1149,1,60
21,20,1,15
8,34,3,65
7,34,2,35
10,44,2,37
359,4,1,26
12,33,4,71
24,8,3,33
0,13,9,188
12,16,2,52
46,10,1,13
22,34,1,11
17,34,2,59
13,34,1,26
10,233,2,55
42,5,3,36
3,138,1,13
5,138,1,14
44,39,1,19
13,39,2,24
31,2,1,12
25,33,3,32
8,33,2,25
7,435,1,18
11,0,3,42
47,4,8,105
7,720,1,25
5,123,1,13
9,46,1,19
16,31,1,31
33,22,3,37
22,25,2,30
33,17,2,38
25,20,4,114
20,25,2,40
2,42,1,12
34,13,1,15
4,540,1,14
10,902,1,12
4,1110,1,12
54,10,1,11
1120,3,1,18
34,25,1,18
325,3,1,42
12,21,21,472
20,21,3,74
3,1518,1,17
1,27,2,30
4,130,1,12
4,1603,1,11
44,19,1,13
54,7,2,25
31,10,5,113
9,34,2,105
9,19,6,86
39,16,1,28
22,14,1,10
9,39,3,68
785,3,1,10
3,121,2,31
38,3,1,13
24,21,2,97
2,19,2,22
7,527,1,10
634,1,1,13
4,251,1,28
204,7,1,16
207,4,1,12
31,22,1,79
24,9,3,47
31,24,1,32
31,17,2,31
44,24,1,13
7,27,3,52
3,1520,1,30
19,21,4,86
22,39,1,25
4,1633,1,16
46,24,2,429
16,11,7,158
5,36,1,10
7,42,2,24
5,42,1,10
1147,5,1,16
11,31,1,24
46,33,1,14
9,0,5,173
44,6,2,21
13,25,7,174
1226,7,1,12
1132,7,1,10
39,12,3,60
20,33,1,88
219,5,1,36
4,183,1,12
3,921,1,11
71,2,1,17
20,9,1,16
54,5,1,10
6,46,2,43
5,19,5,58
4,74,2,22
25,12,2,82
12,44,10,185
13,44,1,21
182,1,2,22
211,5,1,14
4,1374,1,38
1,46,8,7805
24,33,2,112
390,4,1,19
6,44,2,34
42,6,1,17
4,632,1,19
4,1287,1,13
24,16,2,35
108,1,1,10
21,34,2,48
1646,5,1,13
6,39,2,38
2,44,5,133
4,116,1,13
3,351,1,10
21,22,1,12
8,39,1,26
526,2,1,11
5,562,1,13
3,888,1,33
7,1161,1,15
6,20,1,33
24,14,1,12
6,42,1,12
2,182,1,15
3,150,1,12
44,9,3,51
326,4,1,10
0,12,1,13
7,1552,1,119
24,22,10,138
11,38,1,86
0,9,3,103
47,6,1,24
3,1637,1,95
2,27,1,12
7,466,1,27
20,0,1,10
13,63,1,14
5,642,1,10
7,54,4,115
871,7,1,29
16,19,1,14
4,306,2,32
7,53,1,10
31,16,2,49
15,54,1,14
5,54,2,31
10,54,1,10
13,54,1,12
3,1000,1,27
1,31,1,11
15,8,9,173
3,647,1,15
439,4,1,48
17,306,1,20
133,3,1,18
112,4,1,22
4,1663,1,11
0,24,2,23
20,17,6,88
34,2,2,24
10,19,3,36
3,82,1,25
34,11,1,27
33,6,1,17
27,9,2,31
44,2,4,47
8,46,1,35
108,3,1,13
17,160,1,15
21,14,3,50
4,1638,1,10
197,5,1,14
1180,3,1,18
27,4,2,55
350,4,1,11
25,22,1,15
4,326,1,14
4,61,1,14
7,61,1,14
3,1533,1,12
31,8,1,37
31,25,1,10
44,10,4,66
59,3,1,40
3,557,1,13
953,1,1,10
3,129,1,11
22,33,1,11
320,5,1,13
123,4,1,34
5,84,1,19
5,1287,1,29
1,1349,1,24
4,679,1,10
42,39,1,10
19,16,2,62
17,44,1,15
551,3,1,11
11,113,1,12
5,342,1,10
0,11,3,41
61,1,1,10
25,27,1,14
123,5,1,37
3,1330,1,10
160,3,1,15
54,3,1,20
5,39,18,328
16,25,2,64
3,256,2,30
7,113,1,17
686,3,1,42
39,24,2,28
293,7,1,16
3,1232,1,20
603,6,1,13
2,624,1,22
120,1,1,10
3,156,1,27
27,21,2,35
4,554,1,29
7,663,1,27
4,649,1,59
3,1460,1,10
10,27,1,52
293,5,1,18
3,450,1,29
473,4,1,11
852,3,1,55
3,1575,1,16
908,7,1,20
3,1029,1,19
156,7,1,11
4,63,1,33
3,498,1,30
22,21,2,132
33,19,1,11
5,1323,1,11
15,0,1,14
84,1,1,10
5,298,1,28
22,19,1,11
645,5,1,16
44,21,1,12
4,445,2,50
503,3,1,13
6,53,1,10
745,3,1,25
846,4,1,10
27,10,1,13
54,24,2,34
20,31,1,27
103,4,1,11
615,7,1,48
7,458,1,11
7,534,1,33
2,34,2,35
84,10,1,18
4,1431,1,52
1450,3,1,14
3,381,1,11
12,76,1,10
3,1434,1,12
354,4,1,10
315,4,1,10
5,370,1,14
3,233,1,10
42,24,1,18
117,3,1,40
