title_raw	traffic	title	rank
Main_Page	492341152	Main Page	1
Hyphen-minus	15498618	Hyphen-minus	2
XHamster	4281194	XHamster	3
Darth_Vader	1801074	Darth Vader	4
Segersjön	1724261	Segersjön	5
Lists_of_deaths_by_year	1457060	Lists of deaths by year	6
Exo_(band)	1223507	Exo (band)	7
2018_FIFA_World_Cup	1077101	2018 FIFA World Cup	8
Jason_Momoa	990366	Jason Momoa	9
Null	944711	Null	10
Computer_science	871547	Computer science	11
George_H._W._Bush	804462	George H. W. Bush	12
2.0_(film)	793408	2.0 (film)	13
Kayden_Boche	650669	Kayden Boche	14
F5_Networks	609357	F5 Networks	15
Bird_Box_(film)	586351	Bird Box (film)	16
Aquaman_(film)	582462	Aquaman (film)	17
BTS_(band)	535448	BTS (band)	18
.us	527769	.us	19
Google_Chrome	520627	Google Chrome	20
