title_raw	traffic	title	rank
George_H._W._Bush	4576854	George H. W. Bush	1
Jason_Momoa	3538068	Jason Momoa	2
2.0_(film)	3475113	2.0 (film)	3
Bird_Box_(film)	3251996	Bird Box (film)	4
Main_Page	3020671	Main Page	5
Aquaman_(film)	2634665	Aquaman (film)	6
Bird_Box	2328884	Bird Box	7
Priyanka_Chopra	2231176	Priyanka Chopra	8
List_of_most-disliked_YouTube_videos	2226602	List of most-disliked YouTube videos	9
Freddie_Mercury	2050628	Freddie Mercury	10
Zero_(2018_film)	1923035	Zero (2018 film)	11
George_W._Bush	1674952	George W. Bush	12
K.G.F:_Chapter_1	1645911	K.G.F: Chapter 1	13
Nick_Jonas	1568511	Nick Jonas	14
Spider-Man:_Into_the_Spider-Verse	1553836	Spider-Man: Into the Spider-Verse	15
Penny_Marshall	1457685	Penny Marshall	16
Jimmy_Carter	1370107	Jimmy Carter	17
Macaulay_Culkin	1237938	Macaulay Culkin	18
List_of_highest-grossing_Indian_films	1198082	List of highest-grossing Indian films	19
Mary,_Queen_of_Scots	1175878	Mary, Queen of Scots	20
