title_raw	traffic	title	rank
Hyphen-minus	17676430	Hyphen-minus	1
Main_Page	677294	Main Page	2
HTTP_404	636210	HTTP 404	3
Toilet-related_injuries_and_deaths	499771	Toilet-related injuries and deaths	4
Kotii_Reddy	365723	Kotii Reddy	5
Vilnius	239233	Vilnius	6
OpenText	209113	OpenText	7
Singapore	209027	Singapore	8
China	169522	China	9
2015_Tianjin_explosions	168136	2015 Tianjin explosions	10
Certificate_of_Primary_Education	168095	Certificate of Primary Education	11
Kathmandu	163653	Kathmandu	12
Kyoto	162096	Kyoto	13
Funafuti	157184	Funafuti	14
Korean_Broadcasting_System	150278	Korean Broadcasting System	15
RT_(TV_network)	143064	RT (TV network)	16
IP_address	141754	IP address	17
North_Pole	130511	North Pole	18
List_of_country_calling_codes	127025	List of country calling codes	19
Seoul	123349	Seoul	20
