title_raw	traffic	title	rank
Lisa_Bonet	1217004	Lisa Bonet	1
George_H._W._Bush	1108189	George H. W. Bush	2
George_W._Bush	907853	George W. Bush	3
Nick_Jonas	776311	Nick Jonas	4
Bird_Box_(film)	682992	Bird Box (film)	5
Jason_Momoa	639353	Jason Momoa	6
Dorothy_Bush_Koch	605207	Dorothy Bush Koch	7
Avengers:_Endgame	603912	Avengers: Endgame	8
Zoë_Kravitz	598633	Zoë Kravitz	9
Barbara_Bush	594183	Barbara Bush	10
Priyanka_Chopra	575481	Priyanka Chopra	11
Pauline_Robinson_Bush	547034	Pauline Robinson Bush	12
Marvin_Bush	545761	Marvin Bush	13
Neil_Bush	516722	Neil Bush	14
List_of_Hindi_film_families	500914	List of Hindi film families	15
Jeb_Bush	448371	Jeb Bush	16
Jimmy_Carter	442623	Jimmy Carter	17
Elizabeth_II	439492	Elizabeth II	18
Miguel_Ángel_Félix_Gallardo	422015	Miguel Ángel Félix Gallardo	19
Bush_family	414957	Bush family	20
