title_raw	traffic	title	rank
Marwencol	79452	Marwencol	1
Aquaman_(film)	34309	Aquaman (film)	2
The_High_Strung	27072	The High Strung	3
Jordan_Lane_Price	26829	Jordan Lane Price	4
Spider-Man:_Into_the_Spider-Verse	26665	Spider-Man: Into the Spider-Verse	5
Tori_Black	24286	Tori Black	6
2.0_(film)	23563	2.0 (film)	7
Mukesh_Ambani	21435	Mukesh Ambani	8
Twin	20343	Twin	9
2018_in_film	15811	2018 in film	10
Pooja_Gor	15450	Pooja Gor	11
Lexi_Belle	14788	Lexi Belle	12
John_Lockwood_Kipling	14748	John Lockwood Kipling	13
Port_Adelaide_Football_Club	14244	Port Adelaide Football Club	14
Bumblebee_(film)	14024	Bumblebee (film)	15
Tom_Hughes_(actor)	13656	Tom Hughes (actor)	16
Vrajesh_Hirjee	13132	Vrajesh Hirjee	17
Zero_(2018_film)	12636	Zero (2018 film)	18
List_of_Hindi_film_families	11833	List of Hindi film families	19
Cross-dressing	11520	Cross-dressing	20
