title_raw	traffic	title	rank
2.0_(film)	182358	2.0 (film)	1
Main_Page	81647	Main Page	2
Zero_(2018_film)	72911	Zero (2018 film)	3
K.G.F:_Chapter_1	68387	K.G.F: Chapter 1	4
List_of_highest-grossing_Indian_films	63234	List of highest-grossing Indian films	5
Sexy_Movie	59806	Sexy Movie	6
XXXX	57086	XXXX	7
List_of_Bollywood_films_of_2018	39626	List of Bollywood films of 2018	8
Blue_Film_Woman	35363	Blue Film Woman	9
Priyanka_Chopra	34612	Priyanka Chopra	10
Nick_Jonas	33078	Nick Jonas	11
Aquaman_(film)	32533	Aquaman (film)	12
Government_shutdowns_in_the_United_States	32290	Government shutdowns in the United States	13
Statue_of_Unity	31638	Statue of Unity	14
Kedarnath_(film)	31097	Kedarnath (film)	15
Mukesh_Ambani	29644	Mukesh Ambani	16
Simmba	29629	Simmba	17
Sara_Ali_Khan	29397	Sara Ali Khan	18
2018_Men's_Hockey_World_Cup	29314	2018 Men's Hockey World Cup	19
Bigg_Boss_(Hindi_season_12)	28794	Bigg Boss (Hindi season 12)	20
