from_lc_id,to_lc_id,link_traffic
8,1,1067594
3,1,3543666
7,1,3014753
7,2,3602338
10,2,2237781
4,2,7302780
5,4,9931781
7,4,5441323
1,4,1557671
2,4,1800884
3,0,366945
4,3,12184172
7,3,9348141
1,3,2658195
3,4,6574601
4,7,10755085
8,3,2399820
3,7,13363427
3,2,4004048
4,5,11680539
1,7,3035254
2,7,3109985
10,11,1159793
5,11,588439
12,11,139967
14,12,35101
11,15,162213
24,4,674325
10,4,3965163
2,3,2198422
10,1,1504916
5,1,1110077
3,8,3690663
10,5,1630758
13,4,2039604
3,10,7925525
1,13,545210
9,5,47486
12,4,204945
11,4,1044278
6,4,808288
7,11,125584
3,11,1172985
4,11,1938371
0,3,184831
5,3,2999863
6,3,1792215
15,4,867458
10,7,2184061
27,6,6556
9,7,535340
8,10,373309
1,10,1303576
54,4,70253
4,6,2567899
17,7,674098
13,7,967843
46,7,84418
24,7,370786
5,7,2262215
6,7,935576
3,16,690092
7,16,235328
11,10,1787922
7,8,247533
2,1,2550705
22,10,158342
13,5,245256
17,4,619806
21,3,630217
17,1,279551
3,9,3781415
6,9,45558
22,8,123369
4,8,686503
1,8,991881
5,8,86670
6,25,26175
4,10,9226863
6,10,1333563
7,10,1827553
39,10,45160
10,6,1437694
5,6,315617
3,17,1668378
3,28,119
13,17,316898
6,2,470700
1,2,2379561
4,17,1166916
3,6,3791034
14,4,88558
13,1,870749
25,11,43559
7,13,648168
4,13,2588238
3,25,425902
8,25,10844
9,4,287556
13,20,40221
4,20,129337
7,20,70785
2,20,20604
1,20,65914
6,20,17558
12,20,5772
3,29,180
17,2,363643
10,3,5774220
4,1,3039729
8,21,15407
24,2,554173
21,4,198702
6,1,1569140
2,10,1305206
5,2,2206268
6,17,122099
7,17,741623
19,7,41055
17,12,33130
15,12,58326
1,6,1998101
17,3,1105583
22,1,409917
9,1,201795
33,10,8521
13,2,364130
1,21,66140
6,11,424164
12,3,347684
22,3,335517
11,2,417844
47,7,14389
21,7,83038
25,7,54293
16,7,135176
15,7,173920
1,0,103916
33,7,38911
2,5,664271
2,6,475993
8,0,55949
22,2,76887
11,3,925736
33,5,38622
21,10,47979
17,10,161086
10,13,143048
5,13,428672
3,13,664581
22,13,71615
20,3,82143
1,16,52928
11,7,236267
3,15,194867
4,15,1114334
10,14,108695
11,14,167404
22,4,232083
10,24,208358
2,24,420837
1,24,153409
9,3,3598611
5,16,85081
4,16,525983
2,33,7074
4,33,102617
7,33,48281
8,6,142943
3,5,1763161
11,13,78881
15,13,87139
7,6,1030884
5,10,3050902
3,22,491803
6,22,104277
17,22,50875
11,6,778221
