louvain_community,articles_count,external_search_traffic,link_traffic,search_traffic,link_in_traffic,search_in_traffic,total_visits,network_density_delta,topic_snapshot,topic_top_ner,x,y
3,507642,535227964,279916754,3506684.0,329625267,4188154,1124655652,4.563287835300931,unit state footbal elect nation constitu parti battl john film,PERSON ORG GPE DATE NORP,729,-94
7,302120,288453340,100658886,769867.0,140416238,1257742,592415339,3.9644345440041837,church al john novel saint languag histori st film battl,PERSON ORG GPE NORP DATE,-132,-464
4,267541,626988532,423779216,3428064.0,461475849,3938984,1350876078,7.467672123794573,film seri tv actor comic season award episod school john,PERSON ORG DATE GPE CARDINAL,-804,-452
10,233396,150495954,54133551,581906.0,84128861,932688,322074785,2.6717667473596265,state new counti school unit california york station park district,PERSON GPE ORG DATE LOC,-628,511
5,223864,219874886,132364916,663439.0,151652674,930331,468611692,4.206005458695721,album song band discographi love music live musician record tour,PERSON ORG GPE DATE CARDINAL,-1031,204
1,218001,279571288,75310865,740682.0,95420595,1056534,1095599823,4.791155963302752,softwar power station number engin space unit program network model,ORG PERSON GPE CARDINAL DATE,-264,503
2,209065,259036837,71288863,1198089.0,96546076,1568306,503087845,4.226882677074963,syndrom nation park diseas food black acid hospit state red,ORG PERSON GPE NORP CARDINAL,-611,470
11,110397,117206803,50132716,902258.0,56716133,972333,220630202,4.706601688466974,footbal team season school basketbal high american basebal state leagu,PERSON ORG DATE GPE NORP,-717,861
6,81807,72472648,14668331,193041.0,28116882,320477,139408430,1.9528885411827985,univers school colleg bank institut compani state intern educ group,ORG PERSON GPE NORP DATE,-214,746
8,73172,37184350,29846311,225133.0,36767267,286442,100143853,5.053436470732941,airport air uss class hms airlin intern squadron flight submarin,PERSON ORG GPE FAC DATE,-169,763
13,68036,81907298,38733554,274844.0,44943883,394931,163908794,4.876519438524289,game video episod charact seri film dragon world war ii,PERSON ORG GPE CARDINAL DATE,-493,767
17,57734,49520060,30883924,230289.0,36611085,306433,112475075,4.08177298945144,film china seri tv chines hong kong district lee song,PERSON ORG GPE DATE NORP,-185,867
12,49144,19912183,6734912,65891.0,8664354,81325,39492159,1.5780070406772075,olymp championship summer men world women game athlet metr open,PERSON DATE EVENT ORG GPE,-464,1042
