from_lc_id,to_lc_id,search_traffic
7,3,86630
22,4,2745
2,4,32692
14,7,190
10,7,21548
4,7,141982
15,24,592
25,11,445
15,10,1868
1,2,39682
1,3,35103
3,7,146074
3,10,109940
5,10,22582
6,3,25105
4,5,133972
3,2,66931
1,33,529
7,20,981
4,9,9168
1,7,35288
4,10,117105
10,3,69828
4,2,103588
5,2,34295
0,1,972
3,1,66634
2,1,33191
14,11,1890
10,11,7213
7,2,53601
1,21,1539
3,21,10800
6,25,422
4,8,5519
3,8,35090
3,4,114923
24,5,2180
9,10,721
3,11,15633
7,4,66986
10,4,47628
16,24,78
22,8,1421
9,3,84535
4,3,157278
10,6,11986
1,19,468
2,13,3995
6,9,1118
3,9,111173
7,1,45021
7,5,22121
7,10,26594
6,2,6620
3,22,7495
20,10,423
24,11,514
5,15,3374
5,1,23195
4,17,13933
16,3,9323
2,3,25559
3,19,11998
4,16,2831
11,7,2806
11,1,4605
4,1,53706
10,8,2744
5,33,1951
1,4,33073
11,10,8644
4,13,42727
21,7,528
17,5,6617
4,11,17059
5,11,6636
22,11,320
2,11,2862
15,11,2258
7,9,10338
21,9,669
5,3,55894
6,11,4739
7,6,10704
19,3,17752
13,3,9676
2,5,14783
24,3,12565
2,7,37149
7,12,993
7,22,1436
3,25,7583
3,16,10993
6,7,10532
15,3,7771
7,33,419
5,4,102054
8,5,1270
1,6,13845
13,22,2713
22,7,1521
10,31,217
1,8,7120
2,8,1523
3,6,46469
3,5,24360
22,3,3706
4,0,2147
6,22,1117
15,4,12861
8,3,15156
1,10,14273
4,24,18943
0,4,1293
8,6,891
1,5,15119
17,19,1288
17,4,9726
3,102,11
2,24,20632
17,7,8782
8,7,1945
9,7,14114
1,15,1141
11,4,10550
3,24,12122
11,15,3024
3,15,4702
4,15,29590
24,15,357
17,10,2379
24,4,6646
12,13,476
10,1,13972
13,7,13166
4,21,28346
13,4,25825
9,4,13807
19,9,142
2,0,644
10,5,22847
17,3,21155
6,10,9107
4,6,17995
8,0,193
22,5,1067
6,1,18903
5,7,38239
0,10,1301
9,1,18012
1,16,588
8,4,2929
21,3,6346
33,3,1723
11,6,5205
17,2,4427
6,24,619
13,2,3739
24,2,9202
24,1,3038
2,15,3003
39,4,264
2,10,20557
1,34,276
39,9,72
10,2,27788
22,15,143
7,15,1957
13,12,344
15,2,2241
8,10,2763
13,5,3510
7,17,9638
1,0,931
12,3,3461
33,4,1406
13,1,9482
4,19,1676
2,22,1512
19,17,666
3,17,19670
11,17,349
4,22,13859
11,22,294
25,4,2069
645,4,18
31,3,455
1,13,16874
3,33,2934
7,13,10286
25,3,3323
11,3,21269
11,13,1072
2,9,2931
0,3,1687
5,8,834
2,12,885
8,1,7382
22,1,6003
8,2,2106
3,27,1811
1,24,13780
6,4,10541
13,17,4371
42,4,144
24,10,2049
46,1,1018
9,17,3200
1,22,6697
16,4,2117
10,22,2091
6,13,1377
20,13,236
19,22,64
7,24,5231
21,5,681
4,244,36
22,17,448
24,6,791
16,10,1258
10,17,2312
9,6,1392
16,1,327
11,5,5947
4,20,1786
2,31,11
7,8,3128
46,4,1391
33,5,722
5,17,3409
7,11,3285
20,7,668
13,46,50
4,46,2071
16,21,12
5,21,574
9,21,3735
10,21,1375
10,13,3382
7,25,1105
22,2,1915
5,9,882
5,24,6620
8,22,1086
13,10,2386
22,10,1377
12,10,577
21,10,1201
10,15,1483
3,13,9077
20,4,876
7,14,371
6,5,1832
15,5,3839
0,5,190
9,2,5518
7,16,2463
15,25,323
27,25,10
10,0,1214
4,39,843
17,1,3986
17,0,393
2,6,4773
10,25,482
7,21,819
3,39,990
24,17,408
3,12,3261
1,17,8212
12,4,1873
14,3,695
3,31,1269
4,12,2643
44,4,602
6,19,229
13,15,1053
7,39,554
20,2,388
10,16,1514
2,25,338
27,3,1897
5,0,733
4,54,468
3,368,32
4,14,1225
13,20,393
17,6,2821
21,2,1143
4,33,1956
5,16,440
17,16,154
10,20,357
3,0,3389
1,9,3756
6,21,529
11,2,3826
21,1,1682
10,12,747
19,4,452
5,13,13930
14,4,562
5,6,5827
3,14,906
17,25,581
10,24,2666
25,15,349
15,7,4468
5,12,726
21,4,3792
11,25,393
603,3,12
19,7,559
17,13,3567
22,13,867
8,13,2257
16,13,221
