louvain_community,title,in_traffic
0,"Disney_family",50525
0,"Roy_O._Disney",25238
0,"Listed_building",15762
0,"Paul_Theroux",11855
0,"Rapid_transit",9253
1,"Elon_Musk",125907
1,"YouTube",111194
1,"Music_download",80749
1,"Instagram",69634
1,"Crore",63898
2,"Lisa_Marie_Presley",153345
2,"Caitlyn_Jenner",128825
2,"Pansexuality",113545
2,"Pneumonia",95726
2,"Jennifer_Syme",91587
3,"Priyanka_Chopra",527036
3,"List_of_highest-grossing_Indian_films",313043
3,"Sultanate_of_Zanzibar",171681
3,"Katherine_Schwarzenegger",146352
3,"Srinidhi_Shetty",144907
4,"Liam_Hemsworth",148586
4,"Jane_Hawking",121229
4,"Sophie_Turner",118062
4,"Tish_Cyrus",115309
4,"Marla_Maples",114494
5,"Nick_Jonas",622671
5,"Order_of_the_British_Empire",294335
5,"Machine_Gun_Kelly_(rapper)",178086
5,"Grimes_(musician)",143101
5,"Miley_Cyrus",126463
6,"NASDAQ",170431
6,"Reliance_Industries",81939
6,"Martin_D._Ginsburg",55891
6,"Columbia_University",55675
6,"Alphabet_Inc.",51835
7,"Parsi",154268
7,"P._T._Barnum",87188
7,"Magical_creatures_in_Harry_Potter",80765
7,"Teetotalism",80566
7,"Justine_Musk",74575
8,"Grumman_TBF_Avenger",30091
8,"Attack_on_Pearl_Harbor",28173
8,"United_States_Air_Force",26418
8,"American_Airlines_Flight_11",19877
8,"International_Air_Transport_Association",18661
9,"2.0_(film)",167713
9,"Temper_(film)",66663
9,"K.G.F:_Chapter_1",54967
9,"Saaho",45047
9,"Meera_Chopra",39387
10,"United_States",295153
10,"Jesse_James_(customizer)",160148
10,"2015_Clinton_Correctional_Facility_escape",156602
10,"Richard_Wershe_Jr.",118781
10,"Robert_Kardashian",115602
11,"Marko_Jarić",56996
11,"Chandler_Jones",40687
11,"Arthur_Jones_(American_football)",40513
11,"Dwyane_Wade",39525
11,"Sarah_Rose_Summers",34991
12,"Peter_Palandjian",83393
12,"Association_football",41910
12,"Prakash_Padukone",29670
12,"Ryan_Sweeting",28198
12,"Tonya_Harding",27661
13,"PewDiePie",122155
13,"Japan",66940
13,"Kane_Tanaka",35771
13,"King_Ghidorah",34033
13,"Actor",30929
14,"Valeri_Bure",74156
14,"Dion_Phaneuf",36096
14,"Order_of_Canada",33882
14,"Mike_Comrie",24038
14,"Jarret_Stoll",13142
15,"Dwayne_Johnson",70854
15,"John_Cena",58253
15,"Dave_Bautista",48443
15,"Paige_(wrestler)",27017
15,"David_Otunga",26443
16,"Mexico",55265
16,"Camila_Alves",52514
16,"Camila_Sodi",43908
16,"Brazil",42459
16,"Uncontacted_peoples",41178
17,"China",78386
17,"Michelle_Yeoh",65976
17,"Hebei_China_Fortune_F.C.",43259
17,"South_Korea",37749
17,"Ren_Zhengfei",36469
18,"Florin_Piersic",10
19,"Vissel_Kobe",17492
19,"Kashima_Antlers",17377
19,"Jordan_national_football_team",16087
19,"Sagan_Tosu",14662
19,"Caio_Lucas_Fernandes",14616
20,"Victoria_Coren_Mitchell",21982
20,"Adam_Bilzerian",19233
20,"Phil_Laak",9454
20,"Bookmaker",8234
20,"Monopoly_(game)",5885
21,"Independent_politician",51505
21,"Virat_Kohli",32746
21,"Steve_Irwin",30242
21,"Terri_Irwin",23517
21,"Melbourne",22869
22,"Shelby_Blackstock",60416
22,"List_of_The_Fast_and_the_Furious_characters",48826
22,"Alexis_DeJoria",48622
22,"Tesla,_Inc.",34226
22,"Jean_Todt",24753
23,"Fernando_Redondo_Solari",381
23,"Patricio_Rey_y_sus_Redonditos_de_Ricota",20
24,"Kate_Spade",65924
24,"Janine_Lindemulder",52447
24,"Pornography",48358
24,"BDSM",35122
24,"Gianni_Versace",29397
25,"Philippines",71272
25,"Gloria_Diaz",46118
25,"Megan_Young",21805
25,"The_Bachelor_(U.S._TV_series)",20639
25,"Oas,_Albay",19769
27,"Sheikh_Hasina",11252
27,"Abdul_Hamid_(politician)",3611
27,"Awami_League",3602
27,"Khaleda_Zia",2569
27,"Jatiya_Sangsad",2226
28,"List_of_Cook_Islanders",119
28,"Language_(Annie_Crummer_album)",46
29,"1992_United_States_House_of_Representatives_election_in_Vermont",151
29,"2004_United_States_House_of_Representatives_election_in_Vermont",83
29,"1994_United_States_House_of_Representatives_election_in_Vermont",15
30,"Ferenc_Kósa",541
30,"Caedmon's_Call",153
30,"NoiseTrade",113
30,"Bebo_Norman",58
30,"Andrew_Peterson_(musician)",55
31,"Mohammed_Barkindo",2833
31,"David_Bailie",2317
31,"Lagos_State",2038
31,"John_K._Randle",1508
31,"Borno_State",1507
32,"1957_Egyptian_parliamentary_election",44
32,"Liberal_Socialists_Party",43
32,"1995_Egyptian_parliamentary_election",27
33,"Prima_Donna_(UK_band)",8351
33,"The_Apprentice_(UK_TV_series)",4866
33,"Malena_Ernman",4805
33,"Maya_Jupiter",4171
33,"Srđan_Todorović",3532
34,"1970_Bhola_cyclone",7450
34,"Tropical_cyclone",6955
34,"1991_Perfect_Storm",4011
34,"Hurricane_Maria",3684
34,"Hurricane_Michael",2910
35,"John_Poulett,_2nd_Earl_Poulett",15
36,"Bella_Morte",10
37,"Akiko_Noma",29
38,"WOW_series",111
38,"North_American_Computational_Linguistics_Olympiad",86
38,"WOW_Gospel_2003",26
38,"Wow",20
38,"Raze_(Christian_pop_group)",17
39,"Dan_Fredinburg",14321
39,"Mount_Everest",12219
39,"Himalayas",12012
39,"Denali",11015
39,"1996_Mount_Everest_disaster",9184
40,"Nancy_Kacungira",116
40,"Philip_Gbeho",58
40,"Alan_Kasujja",43
40,"Newsday_(radio_programme)",29
40,"Mohamed_Ibn_Chambas",18
41,"Lists_of_Finnish_films",46
42,"Roadside_Picnic",3004
42,"Beyond_the_Edge_(2018_film)",1676
42,"Yevgeny_Stychkin",1544
42,"Nikita_Mikhalkov",1390
42,"Daniel_Olbrychski",1354
43,"Administrative_divisions_of_Uganda",214
43,"Iganga_District",184
43,"Mbarara",156
43,"Districts_of_Uganda",148
43,"Ssese_Islands",140
44,"Rudolf_Wanderone",2859
44,"Ronnie_O'Sullivan",2832
44,"Hustling",2389
44,"Snooker",1754
44,"Minnesota_Fats",1616
45,"369_BC",36
45,"386_BC",29
45,"365_BC",13
46,"J._R._R._Tolkien",19784
46,"The_Lord_of_the_Rings_(film_series)",19294
46,"Fran_Walsh",16079
46,"The_Lord_of_the_Rings:_The_Return_of_the_King",13104
46,"The_Hobbit_(film_series)",12247
47,"Jack_the_Ripper",12594
47,"Asterix_at_the_Olympic_Games_(film)",6223
47,"Lists_of_The_New_York_Times_Non-Fiction_Best_Sellers",2513
47,"List_of_The_Adventures_of_Tintin_characters",2426
47,"P._G._Wodehouse",2405
49,"Edith_Mathis",45
49,"Gundula_Janowitz",32
51,"Edna_O'Brien",292
51,"The_Country_Girls",128
51,"Nell_McCafferty",26
51,"PEN/Nabokov_Award",11
51,"Ernest_Gébler",10
52,"Rusty_Bryant",187
53,"Athens_Towers",282
53,"1977_Vrancea_earthquake",137
53,"Floreasca_City_Center",131
53,"Ștefan_Bănică_Sr.",122
53,"Dâmbovița_Center",116
54,"The_Wire",15844
54,"Wallace_(The_Wire)",5676
54,"Michael_Potts_(actor)",4495
54,"Stringer_Bell",2134
54,"Michelle_Paress",1771
55,"1935_in_science",72
55,"1920_in_science",39
55,"1970s_in_science_and_technology",39
55,"1969_in_science",20
55,"1968_in_science",19
