louvain_community,title,degree
0,"London_Underground",382
0,"London_Overground",265
0,"East_Coast_Main_Line",263
0,"List_of_rail_accidents_in_the_United_Kingdom",254
0,"Crossrail",237
1,"Android_(operating_system)",1479
1,"Apple_Inc.",1123
1,"Microsoft_Windows",1116
1,"Google",1072
1,"Earth",1066
2,"List_of_dinosaur_genera",1169
2,"Animal",1112
2,"Mammal",960
2,"Taxonomy_(biology)",893
2,"Aspirin",859
3,"India",3131
3,"United_Kingdom",2841
3,"World_War_II",2587
3,"Russia",2177
3,"Germany",2082
4,"2018_in_film",2118
4,"Academy_Awards",1769
4,"Academy_Award_for_Best_Picture",1575
4,"List_of_Warner_Bros._films",1408
4,"Netflix",1381
5,"Billboard_Hot_100",1305
5,"The_Beatles",977
5,"Kanye_West",939
5,"Paul_McCartney",920
5,"Eminem",914
6,"Massachusetts_Institute_of_Technology",837
6,"Stanford_University",608
6,"Walmart",591
6,"Cornell_University",563
6,"List_of_shopping_malls_in_the_United_States",485
7,"William_Shakespeare",1794
7,"Catholic_Church",1720
7,"Ottoman_Empire",1366
7,"Jesus",1357
7,"Rome",1277
8,"List_of_accidents_and_incidents_involving_commercial_aircraft",1388
8,"List_of_aircraft_of_World_War_II",1191
8,"List_of_military_aircraft_of_the_United_States",984
8,"Heathrow_Airport",743
8,"List_of_fighter_aircraft",721
9,"Tamil_language",788
9,"List_of_Tamil_films_of_2018",630
9,"Hinduism",581
9,"Tamil_Nadu",554
9,"Telugu_language",535
10,"New_York_City",2171
10,"California",2162
10,"United_States",1706
10,"Massachusetts",1696
10,"Chicago",1605
11,"American_Football_Conference",1758
11,"List_of_current_Major_League_Baseball_team_rosters",1351
11,"National_Football_League",1349
11,"American_football",1084
11,"List_of_current_AFC_team_rosters",1061
12,"Association_football",529
12,"2016_Summer_Olympics",499
12,"2018_Winter_Olympics",406
12,"World_Figure_Skating_Championships",384
12,"Roger_Federer",372
13,"List_of_PlayStation_2_games",1216
13,"List_of_Xbox_360_games",1018
13,"Video_game",909
13,"List_of_Super_Nintendo_Entertainment_System_games",844
13,"Nintendo",837
14,"National_Hockey_League",625
14,"List_of_Stanley_Cup_champions",482
14,"Toronto_Maple_Leafs",427
14,"Montreal_Canadiens",403
14,"Wayne_Gretzky",371
15,"WWE",1152
15,"List_of_Wrestling_Observer_Newsletter_awards",927
15,"List_of_current_UFC_fighters",756
15,"Professional_wrestling",749
15,"List_of_UFC_champions",715
16,"Mexico",556
16,"Brazil",494
16,"Mexico_City",383
16,"Maya_civilization",293
16,"Aztecs",254
17,"China",1329
17,"List_of_South_Korean_dramas",893
17,"Taiwan",859
17,"Qing_dynasty",767
17,"Hong_Kong",744
18,"Florin_Piersic",5
18,"Valea_Moldovei",1
18,"The_White_Moor",1
18,"Cuibul_salamandrelor",1
18,"Ciulinii_Bărăganului",1
19,"Members_of_the_Dewan_Rakyat,_14th_Malaysian_Parliament",366
19,"Malaysia_national_football_team",363
19,"Thailand_national_football_team",329
19,"Indonesia_national_football_team",298
19,"Iran_national_football_team",286
20,"Chess",440
20,"Glossary_of_chess",366
20,"List_of_chess_grandmasters",307
20,"Magnus_Carlsen",299
20,"Bobby_Fischer",286
21,"Australian_Labor_Party",617
21,"India_national_cricket_team",616
21,"List_of_Australia_Test_cricketers",477
21,"Australia_national_cricket_team",468
21,"Cricket",416
22,"Inline-four_engine",860
22,"Formula_One",728
22,"List_of_automobile_manufacturers",709
22,"Automatic_transmission",669
22,"Ford_Motor_Company",650
23,"Patricio_Rey_y_sus_Redonditos_de_Ricota",10
23,"Indio_Solari",5
23,"Oktubre",3
23,"Skay_Beilinson",2
23,"Fernando_Redondo_Solari",1
24,"List_of_pornographic_performers_by_decade",684
24,"AVN_Award",598
24,"Pornographic_film_actor",561
24,"List_of_members_of_the_AVN_Hall_of_Fame",504
24,"Pornography",418
25,"Philippines",936
25,"List_of_GMA_Network_drama_series",328
25,"List_of_ABS-CBN_drama_series",278
25,"List_of_ZIP_codes_in_the_Philippines",257
25,"List_of_Filipino_actresses",246
26,"Federation_of_Korean_Trade_Unions",5
26,"Korean_Confederation_of_Trade_Unions",3
26,"Trade_unions_in_South_Korea",3
26,"Korean_Labor_Unions_Confederation",1
27,"List_of_Parliamentary_constituencies_in_Bangladesh",306
27,"Upazilas_of_Bangladesh",160
27,"List_of_universities_in_Bangladesh",99
27,"Cabinet_of_Bangladesh",97
27,"Jatiya_Sangsad",97
28,"Annie_Crummer",5
28,"Language_(Annie_Crummer_album)",2
28,"List_of_Cook_Islanders",2
28,"Will_Crummer",2
28,"Netherworld_Dancing_Toys",2
29,"1994_United_States_House_of_Representatives_election_in_Vermont",4
29,"1996_United_States_House_of_Representatives_election_in_Vermont",4
29,"2002_United_States_House_of_Representatives_election_in_Vermont",4
29,"2000_United_States_House_of_Representatives_election_in_Vermont",4
29,"1998_United_States_House_of_Representatives_election_in_Vermont",4
30,"Andrew_Peterson_(musician)",28
30,"Derek_Webb",13
30,"Bebo_Norman",12
30,"Ten_Thousand_Days_(film)",12
30,"Caedmon's_Call",10
31,"List_of_state_governors_of_Nigeria",94
31,"Akwa_Ibom_State",85
31,"Local_government_areas_of_Nigeria",84
31,"States_of_Nigeria",82
31,"List_of_Nigerian_actors",80
32,"1976_Egyptian_parliamentary_election",5
32,"1990_Egyptian_parliamentary_election",4
32,"1987_Egyptian_parliamentary_election",4
32,"1984_Egyptian_parliamentary_election",4
32,"1979_Egyptian_parliamentary_election",4
33,"Eurovision_Song_Contest_2018",344
33,"Eurovision_Song_Contest",298
33,"Eurovision_Song_Contest_2019",269
33,"List_of_Eurovision_Song_Contest_winners",227
33,"Eurovision_Song_Contest_2017",194
34,"List_of_the_most_intense_tropical_cyclones",194
34,"Tropical_cyclone",193
34,"Atlantic_hurricane_season",173
34,"List_of_retired_Atlantic_hurricane_names",144
34,"Pacific_typhoon_climatology",128
35,"John_Poulett,_5th_Earl_Poulett",2
35,"Vere_Poulett,_3rd_Earl_Poulett",2
35,"John_Poulett,_4th_Earl_Poulett",2
35,"William_Poulett,_6th_Earl_Poulett",1
35,"John_Poulett,_2nd_Earl_Poulett",1
36,"Bella_Morte",7
36,"Remains_(Bella_Morte_album)",1
36,"The_Quiet_(album)",1
36,"Bleed_the_Grey_Sky_Black",1
36,"As_the_Reasons_Die",1
37,"GO!GO!7188",11
37,"Chirinuruwowaka",4
37,"Yumi_Nakashima",3
37,"Ryūzetsuran",1
37,"Gyotaku_(album)",1
38,"WOW_series",63
38,"WOW_Hits_2003",7
38,"WOW_Hits_2001",6
38,"WOW_Christmas:_Green",6
38,"WOW_2000",6
39,"Mount_Everest",374
39,"List_of_knots",226
39,"K2",218
39,"List_of_highest_mountains_on_Earth",200
39,"Eight-thousander",185
40,"Komla_Dumor",10
40,"Nancy_Kacungira",4
40,"Focus_on_Africa_(TV_programme)",4
40,"Victor_Gbeho",4
40,"Aflao",3
41,"Lists_of_Finnish_films",9
41,"List_of_Finnish_films_before_1917",1
41,"List_of_Finnish_films_of_the_1990s",1
41,"List_of_Finnish_films_of_1917–39",1
41,"List_of_Finnish_films_of_the_1940s",1
42,"Arkady_and_Boris_Strugatsky",50
42,"Deacon_Blue",42
42,"Noon_Universe",39
42,"Viktor_Tsoi",38
42,"Soyuzmultfilm",33
43,"Districts_of_Uganda",80
43,"Western_Region,_Uganda",15
43,"Busia_County",13
43,"Regions_of_Uganda",11
43,"Sub-counties_of_Uganda",10
44,"Ronnie_O'Sullivan",337
44,"2019_PDC_World_Darts_Championship",304
44,"Michael_van_Gerwen",264
44,"Phil_Taylor_(darts_player)",239
44,"PDC_World_Darts_Championship",237
45,"356_BC",2
45,"371_BC",2
45,"347_BC",2
45,"362_BC",2
45,"375_BC",2
46,"J._R._R._Tolkien",367
46,"The_Lord_of_the_Rings",307
46,"Middle-earth",296
46,"Sauron",269
46,"Minor_places_in_Middle-earth",267
47,"The_Adventures_of_Tintin",136
47,"Asterix",129
47,"Jack_the_Ripper",106
47,"P._G._Wodehouse_bibliography",94
47,"P._G._Wodehouse",88
48,"Cuddington,_Eddisbury",3
48,"Cuddington",3
48,"Cuddington_Heath,_Cheshire",2
48,"Cuddington,_Cheshire",2
48,"Cuddington,_Buckinghamshire",1
49,"Gundula_Janowitz",4
49,"Edith_Mathis",3
49,"Bernhard_Klee",1
49,"Elizabeth_Harwood",1
49,"Maria_Stader",1
50,"Sarah_Walker",3
50,"Sarah_Walker_(music_broadcaster)",2
50,"Rob_Cowan",1
50,"Sarah_Walker_(Australian_author)",1
50,"Sarah_Walker_(mezzo-soprano)",1
51,"Edna_O'Brien",13
51,"The_Country_Girls",5
51,"Country_Girl_(memoir)",4
51,"Nuala_O'Faolain",3
51,"Nell_McCafferty",2
52,"Rusty_Bryant",3
52,"Fire_Eater_(album)",2
52,"Wild_Fire_(album)",1
52,"Hank_Marr",1
52,"Stevie_Woods_(musician)",1
53,"1977_Vrancea_earthquake",18
53,"List_of_tallest_buildings_in_Romania",15
53,"List_of_earthquakes_in_Romania",12
53,"List_of_tallest_buildings_and_structures_in_Greece",10
53,"List_of_tallest_structures_in_Romania",9
54,"The_Wire",213
54,"Police_of_The_Wire",110
54,"Barksdale_Organization",106
54,"Street-level_characters_of_The_Wire",99
54,"List_of_The_Wire_episodes",92
55,"1970s_in_science_and_technology",3
55,"1976_in_science",3
55,"1970_in_science",3
55,"1971_in_science",3
55,"1974_in_science",2
56,"1943_New_Zealand_general_election",5
56,"1935_New_Zealand_general_election",5
56,"1905_New_Zealand_general_election",5
56,"1890_New_Zealand_general_election",5
56,"1946_New_Zealand_general_election",5
57,"2007_United_Kingdom_budget",4
57,"2008_United_Kingdom_budget",4
57,"2014_United_Kingdom_budget",4
57,"July_2015_United_Kingdom_budget",4
57,"2006_United_Kingdom_budget",4
58,"1990_United_States_House_of_Representatives_elections_in_California",4
58,"2002_United_States_House_of_Representatives_elections_in_California",4
58,"1988_United_States_House_of_Representatives_elections_in_California",4
58,"1986_United_States_House_of_Representatives_elections_in_California",4
58,"1992_United_States_House_of_Representatives_elections_in_California",4
59,"List_of_United_Kingdom_locations",149
59,"List_of_United_Kingdom_locations:_X-Z",8
59,"Templecombe",3
59,"List_of_United_Kingdom_locations:_Aa-Ak",2
59,"List_of_United_Kingdom_locations:_Hen-Hh",2
60,"1995_in_Ireland",2
60,"1997_in_Ireland",2
60,"1996_in_Ireland",2
60,"1994_in_Ireland",2
60,"1993_in_Ireland",2
61,"Ian_Rankin",45
61,"Alexander_McCall_Smith",41
61,"Inspector_Rebus",32
61,"The_No._1_Ladies'_Detective_Agency",23
61,"Tartan_Noir",21
62,"German_Book_Prize",6
62,"Robert_Menasse",4
62,"Eva_Menasse",3
62,"Arno_Geiger",1
62,"Bodo_Kirchhoff",1
63,"Orson_Scott_Card_bibliography",90
63,"Orson_Scott_Card",81
63,"Ender's_Game_(series)",47
63,"Ender's_Game",29
63,"Ender_in_Exile",26
64,"1972_Mississippi_State_Bulldogs_football_team",4
64,"1973_Mississippi_State_Bulldogs_football_team",4
64,"1971_Mississippi_State_Bulldogs_football_team",3
64,"1960_Mississippi_State_Maroons_football_team",2
64,"1950_Mississippi_State_Maroons_football_team",2
65,"Hingorja_(community)",3
65,"Hingora",2
65,"Node_tribe",1
66,"Eric_IV,_Duke_of_Saxe-Lauenburg",9
66,"George_I,_Prince_of_Anhalt-Dessau",8
66,"Henry_I,_Count_of_Anhalt",7
66,"Albert_I,_Prince_of_Anhalt-Zerbst",7
66,"John_II,_Prince_of_Anhalt-Zerbst",6
67,"1994_German_presidential_election",5
67,"2004_German_presidential_election",4
67,"1964_West_German_presidential_election",4
67,"1979_West_German_presidential_election",4
67,"1974_West_German_presidential_election",4
68,"1936_Burmese_general_election",6
68,"1960_Burmese_general_election",5
68,"1978_Burmese_general_election",4
68,"1974_Burmese_general_election",4
68,"1956_Burmese_general_election",3
69,"Over_the_Rhine_(band)",15
69,"Snow_Angels_(album)",5
69,"Servant_(band)",4
69,"Ohio_(Over_the_Rhine_album)",4
69,"Films_for_Radio",3
70,"Miss_Li",7
70,"God_Put_a_Rainbow_in_the_Sky",1
70,"Tangerine_Dream_(Miss_Li_album)",1
70,"Wolves_(Miss_Li_album)",1
70,"Late_Night_Heartbroken_Blues",1
71,"Darren_Shan",35
71,"The_Saga_of_Darren_Shan",29
71,"The_Demonata",21
71,"Cirque_du_Freak",11
71,"Vampire_Rites",11
72,"List_of_number-one_singles_(Finland)",33
72,"List_of_number-one_albums_(Finland)",9
72,"Apulanta",4
72,"List_of_number-one_singles_of_2018_(Finland)",3
72,"List_of_number-one_albums_of_2018_(Finland)",2
73,"Sara_Douglass",13
73,"Wayfarer_Redemption",7
73,"Battleaxe_(novel)",4
73,"Enchanter_(novel)",3
73,"Sinner_(Douglass_novel)",3
74,"List_of_Hardy_Boys_books",95
74,"List_of_Nancy_Drew_books",89
74,"Nancy_Drew_Mystery_Stories",48
74,"The_Hardy_Boys",48
74,"Her_Interactive",39
75,"Marin_Preda",6
75,"Moromeții",2
75,"Stere_Gulea",2
75,"Aurora_Cornu",1
75,"Cristuru_Secuiesc",1
76,"560s_BC",11
76,"580s_BC",11
76,"570s_BC",11
76,"640s_BC",10
76,"530s_BC",10
77,"List_of_radio_stations_in_Hawaii",47
77,"KGU_(AM)",4
77,"KINE-FM",3
77,"KCCN-FM",2
77,"KUMU-FM",2
78,"Carbon_Leaf",12
78,"Echo_Echo",4
78,"Indian_Summer_(Carbon_Leaf_album)",3
78,"5_Alive!",3
78,"Love,_Loss,_Hope,_Repeat",3
79,"Michael_Feinstein_discography",4
79,"Romance_on_Film,_Romance_on_Broadway",1
79,"Michael_Feinstein_Sings_the_Jule_Styne_Songbook",1
79,"Pure_Gershwin",1
79,"Remember:_Michael_Feinstein_Sings_Irving_Berlin",1
80,"1898_Pennsylvania_gubernatorial_election",4
80,"1875_Pennsylvania_gubernatorial_election",4
80,"1872_Pennsylvania_gubernatorial_election",4
80,"1926_Pennsylvania_gubernatorial_election",4
80,"1934_Pennsylvania_gubernatorial_election",4
81,"Hombres_G",17
81,"Enanitos_Verdes",15
81,"Hombres_G_(album)",6
81,"La_cagaste..._Burt_Lancaster",5
81,"Big_Bang_(Los_Enanitos_Verdes_album)",3
82,"2018_Togolese_parliamentary_election",19
82,"List_of_political_parties_in_Togo",17
82,"Union_for_the_Republic_(Togo)",12
82,"National_Assembly_(Togo)",12
82,"2013_Togolese_parliamentary_election",11
83,"180s_BC",7
83,"190s_BC",7
83,"160s_BC",7
83,"140s_BC",6
83,"240s_BC",6
84,"List_of_symphony_orchestras_in_the_United_States",186
84,"Dispatch_(band)",28
84,"Boston_Pops_Orchestra",12
84,"Arthur_Fiedler",10
84,"State_Radio",9
85,"List_of_villages_in_Bulgaria",12
85,"List_of_villages_in_Ruse_Province",1
85,"List_of_villages_in_Burgas_Province",1
85,"List_of_villages_in_Sofia_Province",1
85,"List_of_villages_in_Haskovo_Province",1
86,"Millicent_Min,_Girl_Genius",4
86,"Stanford_Wong_Flunks_Big-Time",2
86,"So_Totally_Emily_Ebers",1
86,"Lisa_Yee",1
87,"1978_Costa_Rican_general_election",5
87,"1982_Costa_Rican_general_election",4
87,"1994_Costa_Rican_general_election",4
87,"1962_Costa_Rican_general_election",4
87,"1986_Costa_Rican_general_election",4
88,"Mystery_(band)",16
88,"Delusion_Rain",6
88,"The_World_Is_a_Game",6
88,"Theatre_of_the_Mind_(Mystery_album)",4
88,"Lies_and_Butterflies",4
89,"British_Sea_Power",19
89,"British_Sea_Power_discography",15
89,"Brakes_(band)",7
89,"The_Decline_of_British_Sea_Power",7
89,"Open_Season_(British_Sea_Power_album)",6
90,"Z100",5
90,"KKRZ",4
90,"WDZN",1
90,"KLTH",1
90,"KFBW",1
91,"KS_Kastrioti",20
91,"Jurgen_Vatnikaj",1
91,"Patrik_Bardhi",1
91,"Sokol_Mziu",1
91,"Henry_Okebugwu",1
92,"66th_parallel_north",5
92,"62nd_parallel_north",5
92,"63rd_parallel_north",5
92,"64th_parallel_north",4
92,"65th_parallel_north",4
93,"Local_H",35
93,"African_Volleyball_Confederation",13
93,"Zion,_Illinois",13
93,"Joe_Daniels_(drummer)",12
93,"As_Good_as_Dead_(album)",11
94,"1918_Spanish_general_election",7
94,"1910_Spanish_general_election",5
94,"1896_Spanish_general_election",5
94,"1916_Spanish_general_election",5
94,"1884_Spanish_general_election",5
95,"Even_Better_Than_the_Real_Thing_Vol._2",5
95,"Even_Better_Than_the_Real_Thing_album_series",4
95,"Even_Better_Than_the_Real_Thing_Vol._3",3
95,"Even_Better_Than_the_Real_Thing_Vol._1",3
95,"Even_Better_Than_the_Disco_Thing",1
96,"Thomas_Boyd,_6th_Lord_Boyd",4
96,"Robert_Boyd,_4th_Lord_Boyd",4
96,"Robert_Boyd,_5th_Lord_Boyd",4
96,"Robert_Boyd,_8th_Lord_Boyd",2
96,"Alexander_Boyd,_3rd_Lord_Boyd",2
97,"FC_Hebar_Pazardzhik",8
97,"Yacub_Idrizov",1
97,"Nikolay_Mitov",1
97,"Simeon_Ivanov",1
97,"Tsvetelin_Tonev",1
98,"Zero_Hour_(band)",5
98,"The_Towers_of_Avarice",3
98,"Metamorphosis_(Zero_Hour_album)",2
98,"Zero_Hour_(Zero_Hour_album)",2
98,"Cynthesis",1
99,"Peter_Robb_(author)",4
99,"Midnight_in_Sicily",2
99,"Peter_Robb",2
99,"M_(Peter_Robb_book)",1
99,"Peter_B._Robb",1
100,"Mando_Diao",21
100,"Mando_Diao_discography",13
100,"Hurricane_Bar",7
100,"Give_Me_Fire!",7
100,"Ode_to_Ochrasy",7
101,"Short_Stack",6
101,"Art_Vandelay_(album)",2
101,"Sway,_Sway_Baby!",1
101,"This_Is_Bat_Country",1
101,"Budgewoi,_New_South_Wales",1
102,"List_of_imperial_elections_in_the_Holy_Roman_Empire",11
102,"1742_Imperial_election",2
102,"1745_Imperial_election",2
102,"1636_Imperial_election",1
102,"1486_Imperial_election",1
103,"List_of_works_by_Georgette_Heyer",39
103,"Georgette_Heyer",20
103,"Cosy_Dens",11
103,"Lists_of_Czech_films",10
103,"These_Old_Shades",9
104,"Albanian_Second_Division",27
104,"Villages_of_Albania",12
104,"List_of_ambassadors_of_the_United_States_to_Albania",11
104,"Donald_Lu",8
104,"Albanian_Third_Division",7
105,"Mark_Armstrong",4
105,"Mark_Armstrong_(astronomer)",2
105,"Mark_Armstrong_(musician)",1
105,"Mark_Armstrong_(equestrian)",1
106,"Connie_Smith_albums_discography",22
106,"Miss_Smith_Goes_to_Nashville",1
106,"A_Lady_Named_Smith",1
106,"The_Best_of_Connie_Smith_(1967_album)",1
106,"Joy_to_the_World_(Connie_Smith_album)",1
107,"Laurie_R._King",21
107,"Mary_Russell_(character)",11
107,"Jeanette_Biedermann",10
107,"A_Monstrous_Regiment_of_Women",5
107,"The_Beekeeper's_Apprentice",5
108,"Time_Team",40
108,"List_of_sultans_of_the_Maldives",36
108,"President_of_the_Maldives",35
108,"List_of_Time_Team_episodes",31
108,"Mohamed_Nasheed",30
109,"1925_Portuguese_legislative_election",7
109,"1938_Portuguese_legislative_election",4
109,"1934_Portuguese_legislative_election",4
109,"1908_Portuguese_legislative_election",4
109,"1922_Portuguese_legislative_election",4
110,"Mustasch",8
110,"Ralf_Gyllenhammar",3
110,"Latest_Version_of_the_Truth",1
110,"Above_All_(album)",1
110,"Thank_You_for_the_Demon",1
111,"The_Velvet_Teen",7
111,"Cum_Laude!",2
111,"Logan_Whitehurst",2
111,"Out_of_the_Fierce_Parade",1
111,"Judah_Nagler",1
112,"Twisleton-Wykeham-Fiennes_family",22
112,"Baron_Saye_and_Sele",20
112,"Broughton_Castle",15
112,"Nathaniel_Fiennes,_21st_Baron_Saye_and_Sele",11
112,"Frederick_Fiennes,_16th_Baron_Saye_and_Sele",10
113,"CHERUB",43
113,"List_of_CHERUB_characters",25
113,"James_Adams_(character)",24
113,"Robert_Muchamore",18
113,"Shadow_Wave",12
114,"1918_Danish_Folketing_election",5
114,"1915_Danish_Folketing_election",4
114,"1887_Danish_Folketing_election",4
114,"1926_Danish_Folketing_election",4
114,"1909_Danish_Folketing_election",4
115,"Kamar",3
115,"Qamar",2
115,"Kamar,_Afghanistan",1
115,"Komar,_Iran",1
115,"Kamar_language",1
116,"Tarkan_(singer)",24
116,"Tarkan_discography",12
116,"Murat_Boz",9
116,"Tarkan_(album)",8
116,"Karma_(Tarkan_album)",7
117,"List_of_villages_in_Vaishali_district",14
117,"List_of_villages_in_Rajapakar_block",2
117,"List_of_villages_in_Bhagwanpur_block",2
117,"Bhagwanpur,_Vaishali",2
117,"List_of_villages_in_Jandaha_block",1
118,"1987_Barcelona_City_Council_election",4
118,"1983_Barcelona_City_Council_election",4
118,"1995_Barcelona_City_Council_election",4
118,"2003_Barcelona_City_Council_election",4
118,"1934_Barcelona_City_Council_election",4
119,"The_Arrogant_Worms",19
119,"The_Arrogant_Worms_(album)",5
119,"Captain_Tractor",5
119,"Three_Dead_Trolls_in_a_Baggie",5
119,"The_Toronto_Song",3
120,"La_Montagne",3
120,"Montagne",3
120,"La_Montagne_(newspaper)",1
120,"Pierre_de_La_Montagne",1
120,"La_Montagne_(surname)",1
121,"List_of_Marathi_films",86
121,"List_of_Marathi_films_of_2013",4
121,"List_of_Marathi_films_of_1986",4
121,"List_of_Marathi_films_of_1991",4
121,"List_of_Marathi_films_of_1967",3
122,"Tindersticks",29
122,"Stuart_A._Staples",9
122,"Lhasa_de_Sela",9
122,"The_Living_Road",6
122,"Across_Six_Leap_Years",6
123,"Joe_Pass_discography",46
123,"Yusef_Lateef_discography",35
123,"Julie_London_discography",28
123,"Acoustic_Alchemy",25
123,"Randy_Weston",25
124,"Jan_IV_of_Nassau",11
124,"Adolf_IV,_Count_of_Berg",8
124,"Adolf_VII_of_Berg",7
124,"Herman_I,_Count_Palatine_of_Lotharingia",6
124,"Eberhard_I,_Count_of_Berg-Altena",6
125,"Jebediah",8
125,"Kevin_Mitchell_(musician)",6
125,"Jebediah_discography",3
125,"Slightly_Odway",3
125,"Of_Someday_Shambles",2
126,"Llanthony_Priory",6
126,"Llanthony",2
126,"Llanthony_Secunda",2
126,"Vale_of_Ewyas",1
126,"Abbey_Hotel,_Llanthony_Priory",1
127,"The_Feelers",10
127,"Zed_(band)",8
127,"Atlas_(band)",6
127,"Supersystem_(album)",3
127,"Ben_Campbell_(musician)",3
128,"Hillsong_Music_Australia",80
128,"List_of_Hillsong_albums",65
128,"Hillsong_United",58
128,"Hillsong_Worship",52
128,"Joel_Houston",33
129,"Cabinet_of_Azerbaijan",18
129,"Zamira_Hajiyeva",7
129,"Unexplained_wealth_order",7
129,"Jahangir_Hajiyev",6
129,"Ramil_Usubov",5
130,"Sopor_Aeternus_and_The_Ensemble_of_Shadows",32
130,"Joanne_Harris",14
130,"Microbacterium",13
130,"Susan_Glaspell",11
130,"List_of_companies_of_Haiti",10
131,"Portugal_national_football_team_results",5
131,"Portugal_national_football_team_results_(1921–39)",1
131,"Portugal_national_football_team_results_(1940–59)",1
131,"Portugal_national_football_team_results_(2000–19)",1
131,"Portugal_national_football_team_results_(1980–99)",1
132,"1934_United_States_Senate_election_in_Arizona",4
132,"1922_United_States_Senate_election_in_Arizona",4
132,"1950_United_States_Senate_election_in_Arizona",4
132,"1926_United_States_Senate_election_in_Arizona",4
132,"1916_United_States_Senate_election_in_Arizona",4
133,"Nelson_DeMille",36
133,"John_Corey",11
133,"The_Panther_(novel)",9
133,"Night_Fall_(novel)",8
133,"Plum_Island_(novel)",6
134,"May_1915_Greek_legislative_election",5
134,"1875_Greek_legislative_election",4
134,"1868_Greek_legislative_election",4
134,"1912_Greek_legislative_election",4
134,"1902_Greek_legislative_election",4
135,"List_of_Heart_of_Midlothian_F.C._seasons",3
135,"2017–18_Heart_of_Midlothian_F.C._season",1
135,"1962–63_Heart_of_Midlothian_F.C._season",1
135,"2005–06_Heart_of_Midlothian_F.C._season",1
136,"1729",7
136,"1725",7
136,"1735",7
136,"1733",6
136,"1800_in_music",6
137,"Kyansittha",14
137,"Anawrahta",13
137,"Saw_Lu",5
137,"Kunhsaw_Kyaunghpyu",5
137,"Sokkate",4
138,"Peter_Case_discography",11
138,"Flying_Saucer_Blues",3
138,"Torn_Again",3
138,"Beeline_(album)",3
138,"Six-Pack_of_Love",3
139,"1998_California_State_Senate_election",4
139,"2002_California_State_Senate_election",4
139,"1996_California_State_Senate_election",4
139,"2008_California_State_Senate_election",4
139,"2000_California_State_Senate_election",4
140,"1994_London_local_elections",4
140,"1971_London_local_elections",4
140,"1978_London_local_elections",4
140,"1990_London_local_elections",4
140,"2006_London_local_elections",4
141,"1996_Lebanese_general_election",4
141,"1992_Lebanese_general_election",4
141,"1972_Lebanese_general_election",3
141,"1953_Lebanese_general_election",2
141,"1957_Lebanese_general_election",2
142,"List_of_number-one_hits_of_1970_(Mexico)",3
142,"List_of_number-one_hits_of_1971_(Mexico)",3
142,"List_of_number-one_hits_of_1978_(Mexico)",2
142,"List_of_number-one_hits_of_1968_(Mexico)",2
142,"List_of_number-one_hits_of_1982_(Mexico)",2
143,"The_Nightrunner_Series",14
143,"Lynn_Flewelling",7
143,"Luck_in_the_Shadows",5
143,"Stalking_Darkness",4
143,"Glimpses:_A_Collection_of_Nightrunner_Short_Stories",3
144,"Vedast",4
144,"St_Vedast_Foster_Lane",3
144,"Abbey_of_St_Vaast",2
144,"Saint-Vaast",2
144,"Foster_Lane",1
145,"1964_British_Guiana_general_election",2
145,"1968_Guyanese_general_election",2
145,"1973_Guyanese_general_election",1
145,"1961_British_Guiana_general_election",1
146,"Ficarra_e_Picone",6
146,"It_May_Be_Love_But_It_Doesn't_Show",1
146,"L'ora_legale",1
146,"Andiamo_a_quel_paese",1
146,"Nati_stanchi",1
147,"Mansurchak",8
147,"Agapur",5
147,"Mansurchak_Block",5
147,"Nayatol",3
147,"Alam_Chak",2
148,"Dear_America",20
148,"Dear_Canada",6
148,"My_America",4
148,"My_Name_Is_America",4
148,"Kathryn_Lasky",3
149,"2015_UEFA_European_Under-21_Championship_qualification",12
149,"2013_UEFA_European_Under-21_Championship_qualification",11
149,"2013_UEFA_European_Under-21_Championship_qualification_Group_2",1
149,"2013_UEFA_European_Under-21_Championship_qualification_Group_5",1
149,"2013_UEFA_European_Under-21_Championship_qualification_Group_4",1
150,"Great_Cornish_Families",16
150,"Earl_of_Mount_Edgcumbe",12
150,"Fogou",11
150,"Baron_St_Levan",8
150,"Basset_family",7
151,"Pieter_Merkus",2
151,"Joan_Cornelis_Reynst",2
151,"Jan_Jacob_Rochussen",2
151,"Carel_Sirardus_Willem_van_Hogendorp",2
151,"Albertus_Jacobus_Duymaer_van_Twist",1
152,"Cees_Nooteboom",6
152,"Rituals_(novel)",1
152,"Pegasus_Prize",1
152,"Ferdinand_Bordewijk_Prize",1
152,"All_Souls'_Day_(novel)",1
153,"Holling_C._Holling",8
153,"Paddle_to_the_Sea",6
153,"Bill_Mason",6
153,"Paddle-to-the-Sea",4
153,"Waterwalker",2
